n,min,model,pval,simslope,slope
300,20,PGLSSEYOPTIM,0.79,0,6.33E-09
300,20,Compar,0.26334975,0,8.62E-08
290,10,PGLSSEY,0.1,0,2.44E-08
290,10,PGLSSEYOPTIM,0.076,0,2.64E-08
NA,NA,Compar,NA,NA,NA
297,20,PGLSSEY,0.93,0,-1.60E-09
297,20,PGLSSEYOPTIM,0.99,0,-1.82E-10
297,20,Compar,0.008318508,0,1.70E-07
307,10,PGLSSEY,0.5,0,-1.56E-08
307,10,PGLSSEYOPTIM,0.47,0,-1.72E-08
NA,NA,Compar,NA,NA,NA
300,1,PGLSSEY,0.7,0,1.39E-08
300,1,PGLSSEYOPTIM,0.66,0,-1.55E-08
NA,NA,Compar,NA,NA,NA
305,10,PGLSSEY,0.86,0,3.80E-09
305,10,PGLSSEYOPTIM,0.82,0,5.01E-09
305,10,Compar,0.00652331,0,2.12E-07
303,5,PGLSSEY,0.84,0,2.93E-09
303,5,PGLSSEYOPTIM,0.71,0,5.50E-09
303,5,Compar,0.407376744,0,-4.25E-08
300,5,PGLSSEY,0.25,0,2.61E-08
300,5,PGLSSEYOPTIM,0.3,0,2.35E-08
300,5,Compar,0.08705322,0,1.29E-07
312,20,PGLSSEY,0.19,0,6.74E-08
312,20,PGLSSEYOPTIM,0.14,0,7.69E-08
312,20,Compar,0.106350715,0,2.95E-07
307,1,PGLSSEY,0.26,0,-3.18E-08
307,1,PGLSSEYOPTIM,0.055,0,-5.61E-08
307,1,Compar,0.002231075,0,-3.50E-07
308,1,PGLSSEY,0.54,0,-2.65E-08
308,1,PGLSSEYOPTIM,0.27,0,-4.68E-08
308,1,Compar,0.96940727,0,5.31E-09
300,20,PGLSSEY,0.41,0,-1.53E-08
300,20,PGLSSEYOPTIM,0.42,0,-1.51E-08
300,20,Compar,0.094141462,0,1.08E-07
299,1,PGLSSEY,0.27,0,1.70E-08
299,1,PGLSSEYOPTIM,0.81,0,-3.74E-09
NA,NA,Compar,NA,NA,NA
