"","n","min","model","pval","simslope","slope"
"x13055",45,20,"PGLSSEYOPTIM",0.9,0,2.08553573813884e-08
"13055",45,20,"Compar",0.632231740178543,0,2.4527937959901e-07
"x4056",47,20,"PGLSSEY",0.83,0,1.96904816715198e-08
"x13056",47,20,"PGLSSEYOPTIM",0.83,0,2.02650303037846e-08
"13056",47,20,"Compar",0.0904602271490362,0,5.45727843111149e-07
"x4057",46,20,"PGLSSEY",0.59,0,3.68474636557919e-07
"x13057",46,20,"PGLSSEYOPTIM",0.63,0,3.32053399556553e-07
"13057",46,20,"Compar",0.178440751009318,0,3.26122511857895e-06
"x4058",46,20,"PGLSSEY",0.69,0,-3.00749511382145e-08
"x13058",46,20,"PGLSSEYOPTIM",0.73,0,-2.5537107821487e-08
"13058",46,20,"Compar",0.0338837072929863,0,-6.93089777868159e-07
"x4059",50,20,"PGLSSEY",0.76,0,1.16428884842086e-08
"x13059",50,20,"PGLSSEYOPTIM",0.74,0,1.1962353421444e-08
"13059",50,20,"Compar",0.09358356558571,0,2.38166164227319e-07
"x4060",48,20,"PGLSSEY",0.71,0,-3.38495088448292e-08
"x13060",48,20,"PGLSSEYOPTIM",0.86,0,-1.6447983819132e-08
"13060",48,20,"Compar",0.641604683535299,0,-1.44603020876949e-07
"x4061",48,20,"PGLSSEY",0.96,0,3.91287605096589e-09
"x13061",48,20,"PGLSSEYOPTIM",0.98,0,2.26437385723724e-09
"13061",NA,NA,"Compar",NA,NA,NA
"x4062",47,20,"PGLSSEY",0.63,0,-1.15305336736348e-07
"x13062",47,20,"PGLSSEYOPTIM",0.59,0,-1.31826323149064e-07
"13062",47,20,"Compar",0.145134342739931,0,-1.44664590528081e-06
"x4063",47,20,"PGLSSEY",0.76,0,1.06007127343317e-08
"x13063",47,20,"PGLSSEYOPTIM",0.72,0,1.22688109125326e-08
"13063",47,20,"Compar",0.143080916242936,0,1.94956048720374e-07
"x4064",49,20,"PGLSSEY",0.78,0,-1.10991966770588e-07
"x13064",49,20,"PGLSSEYOPTIM",0.9,0,4.95164077025086e-08
"13064",49,20,"Compar",0.178101870324582,0,-1.96040053926475e-06
"x4065",46,20,"PGLSSEY",0.93,0,3.25991283554934e-09
